年份,十年代,尺度,區域,半球,緯度,距平C
2004,2000,寬帶,南北緯24以內,赤道,999,0.55
2004,2000,寬帶,南緯24-90,南,999,0.32
2004,2000,緯度帶,北極區64-90N,北,77,0.46
2004,2000,緯度帶,北高緯44-64N,北,54,0.95
2004,2000,緯度帶,北中緯24-44N,北,34,0.66
2004,2000,緯度帶,赤道-24N,北,12,0.56
2004,2000,緯度帶,24S-赤道,南,-12,0.54
2004,2000,緯度帶,南中緯24-44S,南,-34,0.48
2004,2000,緯度帶,南高緯44-64S,南,-54,0.23
2004,2000,緯度帶,南極區64-90S,南,-77,-0.05
2005,2000,全球,全球,全球,999,0.68
2005,2000,半球,北半球,北,999,0.85
2005,2000,半球,南半球,南,999,0.50
2005,2000,寬帶,北緯24-90,北,999,1.01
2005,2000,寬帶,南北緯24以內,赤道,999,0.62
2005,2000,寬帶,南緯24-90,南,999,0.42
2005,2000,緯度帶,北極區64-90N,北,77,1.99
2005,2000,緯度帶,北高緯44-64N,北,54,1.22
2005,2000,緯度帶,北中緯24-44N,北,34,0.56
2005,2000,緯度帶,赤道-24N,北,12,0.62
2005,2000,緯度帶,24S-赤道,南,-12,0.62
2005,2000,緯度帶,南中緯24-44S,南,-34,0.49
2005,2000,緯度帶,南高緯44-64S,南,-54,0.18
2005,2000,緯度帶,南極區64-90S,南,-77,0.69
2006,2000,全球,全球,全球,999,0.64
2006,2000,半球,北半球,北,999,0.82
2006,2000,半球,南半球,南,999,0.46
2006,2000,寬帶,北緯24-90,北,999,0.99
2006,2000,寬帶,南北緯24以內,赤道,999,0.55
2006,2000,寬帶,南緯24-90,南,999,0.40
2006,2000,緯度帶,北極區64-90N,北,77,1.76
2006,2000,緯度帶,北高緯44-64N,北,54,1.06
2006,2000,緯度帶,北中緯24-44N,北,34,0.69
2006,2000,緯度帶,赤道-24N,北,12,0.56
2006,2000,緯度帶,24S-赤道,南,-12,0.55
2006,2000,緯度帶,南中緯24-44S,南,-34,0.51
2006,2000,緯度帶,南高緯44-64S,南,-54,0.19
2006,2000,緯度帶,南極區64-90S,南,-77,0.46
2007,2000,全球,全球,全球,999,0.66
2007,2000,半球,北半球,北,999,0.85
2007,2000,半球,南半球,南,999,0.48
2007,2000,寬帶,北緯24-90,北,999,1.12
2007,2000,寬帶,南北緯24以內,赤道,999,0.46
2007,2000,寬帶,南緯24-90,南,999,0.48
2007,2000,緯度帶,北極區64-90N,北,77,2.09
2007,2000,緯度帶,北高緯44-64N,北,54,1.32
2007,2000,緯度帶,北中緯24-44N,北,34,0.69
2007,2000,緯度帶,赤道-24N,北,12,0.44
2007,2000,緯度帶,24S-赤道,南,-12,0.48
2007,2000,緯度帶,南中緯24-44S,南,-34,0.50
2007,2000,緯度帶,南高緯44-64S,南,-54,0.07
2007,2000,緯度帶,南極區64-90S,南,-77,1.28
2008,2000,全球,全球,全球,999,0.54
2008,2000,半球,北半球,北,999,0.68
2008,2000,半球,南半球,南,999,0.41
2008,2000,寬帶,北緯24-90,北,999,0.91
2008,2000,寬帶,南北緯24以內,赤道,999,0.37
2008,2000,寬帶,南緯24-90,南,999,0.40
2008,2000,緯度帶,北極區64-90N,北,77,1.53
2008,2000,緯度帶,北高緯44-64N,北,54,1.07
2008,2000,緯度帶,北中緯24-44N,北,34,0.61
2008,2000,緯度帶,赤道-24N,北,12,0.33
2008,2000,緯度帶,24S-赤道,南,-12,0.42
2008,2000,緯度帶,南中緯24-44S,南,-34,0.53
2008,2000,緯度帶,南高緯44-64S,南,-54,0.08
2008,2000,緯度帶,南極區64-90S,南,-77,0.63
2009,2000,全球,全球,全球,999,0.66
2009,2000,半球,北半球,北,999,0.72
2009,2000,半球,南半球,南,999,0.59
2009,2000,寬帶,北緯24-90,北,999,0.78
2009,2000,寬帶,南北緯24以內,赤道,999,0.67
2009,2000,寬帶,南緯24-90,南,999,0.51
2009,2000,緯度帶,北極區64-90N,北,77,1.42
2009,2000,緯度帶,北高緯44-64N,北,54,0.60
2009,2000,緯度帶,北中緯24-44N,北,34,0.68
2009,2000,緯度帶,赤道-24N,北,12,0.64
2009,2000,緯度帶,24S-赤道,南,-12,0.70
2009,2000,緯度帶,南中緯24-44S,南,-34,0.60
2009,2000,緯度帶,南高緯44-64S,南,-54,0.14
2009,2000,緯度帶,南極區64-90S,南,-77,0.99
2010,2010,全球,全球,全球,999,0.72
2010,2010,半球,北半球,北,999,0.90
2010,2010,半球,南半球,南,999,0.55
2010,2010,寬帶,北緯24-90,北,999,1.03
2010,2010,寬帶,南北緯24以內,赤道,999,0.68
2010,2010,寬帶,南緯24-90,南,999,0.48
2010,2010,緯度帶,北極區64-90N,北,77,2.24
2010,2010,緯度帶,北高緯44-64N,北,54,0.87
2010,2010,緯度帶,北中緯24-44N,北,34,0.73
2010,2010,緯度帶,赤道-24N,北,12,0.71
2010,2010,緯度帶,24S-赤道,南,-12,0.65
2010,2010,緯度帶,南中緯24-44S,南,-34,0.63
2010,2010,緯度帶,南高緯44-64S,南,-54,0.20
2010,2010,緯度帶,南極區64-90S,南,-77,0.53
2011,2010,全球,全球,全球,999,0.61
2011,2010,半球,北半球,北,999,0.74
2011,2010,半球,南半球,南,999,0.47
2011,2010,寬帶,北緯24-90,北,999,0.98
2011,2010,寬帶,南北緯24以內,赤道,999,0.36
2011,2010,寬帶,南緯24-90,南,999,0.56
2011,2010,緯度帶,北極區64-90N,北,77,2.32
2011,2010,緯度帶,北高緯44-64N,北,54,0.94
2011,2010,緯度帶,北中緯24-44N,北,34,0.57
2011,2010,緯度帶,赤道-24N,北,12,0.38
2011,2010,緯度帶,24S-赤道,南,-12,0.35
2011,2010,緯度帶,南中緯24-44S,南,-34,0.64
2011,2010,緯度帶,南高緯44-64S,南,-54,0.19
2011,2010,緯度帶,南極區64-90S,南,-77,1.08
2012,2010,全球,全球,全球,999,0.65
2012,2010,半球,北半球,北,999,0.80
2012,2010,半球,南半球,南,999,0.49
2012,2010,寬帶,北緯24-90,北,999,1.03
2012,2010,寬帶,南北緯24以內,赤道,999,0.52
2012,2010,寬帶,南緯24-90,南,999,0.43
2012,2010,緯度帶,北極區64-90N,北,77,2.13
2012,2010,緯度帶,北高緯44-64N,北,54,0.93
2012,2010,緯度帶,北中緯24-44N,北,34,0.73
2012,2010,緯度帶,赤道-24N,北,12,0.47
2012,2010,緯度帶,24S-赤道,南,-12,0.57
2012,2010,緯度帶,南中緯24-44S,南,-34,0.56
2012,2010,緯度帶,南高緯44-64S,南,-54,0.20
2012,2010,緯度帶,南極區64-90S,南,-77,0.46
2013,2010,全球,全球,全球,999,0.68
2013,2010,半球,北半球,北,999,0.80
2013,2010,半球,南半球,南,999,0.55
2013,2010,寬帶,北緯24-90,北,999,0.94
2013,2010,寬帶,南北緯24以內,赤道,999,0.58
2013,2010,寬帶,南緯24-90,南,999,0.54
2013,2010,緯度帶,北極區64-90N,北,77,1.54
2013,2010,緯度帶,北高緯44-64N,北,54,1.04
2013,2010,緯度帶,北中緯24-44N,北,34,0.69
2013,2010,緯度帶,赤道-24N,北,12,0.58
2013,2010,緯度帶,24S-赤道,南,-12,0.58
2013,2010,緯度帶,南中緯24-44S,南,-34,0.63
2013,2010,緯度帶,南高緯44-64S,南,-54,0.23
2013,2010,緯度帶,南極區64-90S,南,-77,0.86
2014,2010,全球,全球,全球,999,0.75
2014,2010,半球,北半球,北,999,0.92
2014,2010,半球,南半球,南,999,0.58
2014,2010,寬帶,北緯24-90,北,999,1.08
2014,2010,寬帶,南北緯24以內,赤道,999,0.67
2014,2010,寬帶,南緯24-90,南,999,0.53
2014,2010,緯度帶,北極區64-90N,北,77,2.06
2014,2010,緯度帶,北高緯44-64N,北,54,1.14
2014,2010,緯度帶,北中緯24-44N,北,34,0.73
2014,2010,緯度帶,赤道-24N,北,12,0.69
2014,2010,緯度帶,24S-赤道,南,-12,0.65
2014,2010,緯度帶,南中緯24-44S,南,-34,0.72
2014,2010,緯度帶,南高緯44-64S,南,-54,0.19
2014,2010,緯度帶,南極區64-90S,南,-77,0.56
2015,2010,全球,全球,全球,999,0.90
2015,2010,半球,北半球,北,999,1.18
2015,2010,半球,南半球,南,999,0.63
2015,2010,寬帶,北緯24-90,北,999,1.31
2015,2010,寬帶,南北緯24以內,赤道,999,0.95
2015,2010,寬帶,南緯24-90,南,999,0.40
2015,2010,緯度帶,北極區64-90N,北,77,2.02
2015,2010,緯度帶,北高緯44-64N,北,54,1.48
2015,2010,緯度帶,北中緯24-44N,北,34,0.99
2015,2010,緯度帶,赤道-24N,北,12,0.97
2015,2010,緯度帶,24S-赤道,南,-12,0.94
2015,2010,緯度帶,南中緯24-44S,南,-34,0.75
2015,2010,緯度帶,南高緯44-64S,南,-54,0.20
2015,2010,緯度帶,南極區64-90S,南,-77,-0.35
2016,2010,全球,全球,全球,999,1.01
2016,2010,半球,北半球,北,999,1.30
2016,2010,半球,南半球,南,999,0.73
2016,2010,寬帶,北緯24-90,北,999,1.54
2016,2010,寬帶,南北緯24以內,赤道,999,1.00
2016,2010,寬帶,南緯24-90,南,999,0.49
2016,2010,緯度帶,北極區64-90N,北,77,3.26
2016,2010,緯度帶,北高緯44-64N,北,54,1.43
2016,2010,緯度帶,北中緯24-44N,北,34,1.06
2016,2010,緯度帶,赤道-24N,北,12,0.95
2016,2010,緯度帶,24S-赤道,南,-12,1.06
2016,2010,緯度帶,南中緯24-44S,南,-34,0.67
2016,2010,緯度帶,南高緯44-64S,南,-54,0.28
2016,2010,緯度帶,南極區64-90S,南,-77,0.37
2017,2010,全球,全球,全球,999,0.91
2017,2010,半球,北半球,北,999,1.17
2017,2010,半球,南半球,南,999,0.66
2017,2010,寬帶,北緯24-90,北,999,1.38
2017,2010,寬帶,南北緯24以內,赤道,999,0.80
2017,2010,寬帶,南緯24-90,南,999,0.60
2017,2010,緯度帶,北極區64-90N,北,77,2.51
2017,2010,緯度帶,北高緯44-64N,北,54,1.38
2017,2010,緯度帶,北中緯24-44N,北,34,1.02
2017,2010,緯度帶,赤道-24N,北,12,0.85
2017,2010,緯度帶,24S-赤道,南,-12,0.75
2017,2010,緯度帶,南中緯24-44S,南,-34,0.76
2017,2010,緯度帶,南高緯44-64S,南,-54,0.38
2017,2010,緯度帶,南極區64-90S,南,-77,0.52
2018,2010,全球,全球,全球,999,0.85
2018,2010,半球,北半球,北,999,1.04
2018,2010,半球,南半球,南,999,0.66
2018,2010,寬帶,北緯24-90,北,999,1.25
2018,2010,寬帶,南北緯24以內,赤道,999,0.67
2018,2010,寬帶,南緯24-90,南,999,0.69
2018,2010,緯度帶,北極區64-90N,北,77,2.17
2018,2010,緯度帶,北高緯44-64N,北,54,1.09
2018,2010,緯度帶,北中緯24-44N,北,34,1.05
2018,2010,緯度帶,赤道-24N,北,12,0.73
2018,2010,緯度帶,24S-赤道,南,-12,0.62
2018,2010,緯度帶,南中緯24-44S,南,-34,0.79
2018,2010,緯度帶,南高緯44-64S,南,-54,0.41
2018,2010,緯度帶,南極區64-90S,南,-77,0.92
2019,2010,全球,全球,全球,999,0.98
2019,2010,半球,北半球,北,999,1.21
2019,2010,半球,南半球,南,999,0.75
2019,2010,寬帶,北緯24-90,北,999,1.42
2019,2010,寬帶,南北緯24以內,赤道,999,0.89
2019,2010,寬帶,南緯24-90,南,999,0.64
2019,2010,緯度帶,北極區64-90N,北,77,2.77
2019,2010,緯度帶,北高緯44-64N,北,54,1.43
2019,2010,緯度帶,北中緯24-44N,北,34,0.99
2019,2010,緯度帶,赤道-24N,北,12,0.90
2019,2010,緯度帶,24S-赤道,南,-12,0.89
2019,2010,緯度帶,南中緯24-44S,南,-34,0.74
2019,2010,緯度帶,南高緯44-64S,南,-54,0.41
2019,2010,緯度帶,南極區64-90S,南,-77,0.82
2020,2020,全球,全球,全球,999,1.01
2020,2020,半球,北半球,北,999,1.34
2020,2020,半球,南半球,南,999,0.67
2020,2020,寬帶,北緯24-90,北,999,1.66
2020,2020,寬帶,南北緯24以內,赤道,999,0.84
2020,2020,寬帶,南緯24-90,南,999,0.57
2020,2020,緯度帶,北極區64-90N,北,77,2.86
2020,2020,緯度帶,北高緯44-64N,北,54,1.81
2020,2020,緯度帶,北中緯24-44N,北,34,1.18
2020,2020,緯度帶,赤道-24N,北,12,0.87
2020,2020,緯度帶,24S-赤道,南,-12,0.82
2020,2020,緯度帶,南中緯24-44S,南,-34,0.59
2020,2020,緯度帶,南高緯44-64S,南,-54,0.40
2020,2020,緯度帶,南極區64-90S,南,-77,0.85
2021,2020,全球,全球,全球,999,0.85
2021,2020,半球,北半球,北,999,1.14
2021,2020,半球,南半球,南,999,0.55
2021,2020,寬帶,北緯24-90,北,999,1.43
2021,2020,寬帶,南北緯24以內,赤道,999,0.65
2021,2020,寬帶,南緯24-90,南,999,0.53
2021,2020,緯度帶,北極區64-90N,北,77,2.08
2021,2020,緯度帶,北高緯44-64N,北,54,1.36
2021,2020,緯度帶,北中緯24-44N,北,34,1.26
2021,2020,緯度帶,赤道-24N,北,12,0.71
2021,2020,緯度帶,24S-赤道,南,-12,0.58
2021,2020,緯度帶,南中緯24-44S,南,-34,0.73
2021,2020,緯度帶,南高緯44-64S,南,-54,0.33
2021,2020,緯度帶,南極區64-90S,南,-77,0.30
2022,2020,全球,全球,全球,999,0.89
2022,2020,半球,北半球,北,999,1.15
2022,2020,半球,南半球,南,999,0.62
2022,2020,寬帶,北緯24-90,北,999,1.52
2022,2020,寬帶,南北緯24以內,赤道,999,0.56
2022,2020,寬帶,南緯24-90,南,999,0.70
2022,2020,緯度帶,北極區64-90N,北,77,2.36
2022,2020,緯度帶,北高緯44-64N,北,54,1.50
2022,2020,緯度帶,北中緯24-44N,北,34,1.26
2022,2020,緯度帶,赤道-24N,北,12,0.62
2022,2020,緯度帶,24S-赤道,南,-12,0.50
2022,2020,緯度帶,南中緯24-44S,南,-34,0.79
2022,2020,緯度帶,南高緯44-64S,南,-54,0.41
2022,2020,緯度帶,南極區64-90S,南,-77,1.06
2023,2020,全球,全球,全球,999,1.17
2023,2020,半球,北半球,北,999,1.49
2023,2020,半球,南半球,南,999,0.85
2023,2020,寬帶,北緯24-90,北,999,1.77
2023,2020,寬帶,南北緯24以內,赤道,999,1.06
2023,2020,寬帶,南緯24-90,南,999,0.71
2023,2020,緯度帶,北極區64-90N,北,77,2.57
2023,2020,緯度帶,北高緯44-64N,北,54,1.86
2023,2020,緯度帶,北中緯24-44N,北,34,1.46
2023,2020,緯度帶,赤道-24N,北,12,1.07
2023,2020,緯度帶,24S-赤道,南,-12,1.04
2023,2020,緯度帶,南中緯24-44S,南,-34,0.90
2023,2020,緯度帶,南高緯44-64S,南,-54,0.46
2023,2020,緯度帶,南極區64-90S,南,-77,0.60
2024,2020,全球,全球,全球,999,1.28
2024,2020,半球,北半球,北,999,1.65
2024,2020,半球,南半球,南,999,0.92
2024,2020,寬帶,北緯24-90,北,999,1.95
2024,2020,寬帶,南北緯24以內,赤道,999,1.19
2024,2020,寬帶,南緯24-90,南,999,0.75
2024,2020,緯度帶,北極區64-90N,北,77,2.91
2024,2020,緯度帶,北高緯44-64N,北,54,1.96
2024,2020,緯度帶,北中緯24-44N,北,34,1.64
2024,2020,緯度帶,赤道-24N,北,12,1.21
2024,2020,緯度帶,24S-赤道,南,-12,1.16
2024,2020,緯度帶,南中緯24-44S,南,-34,0.88
2024,2020,緯度帶,南高緯44-64S,南,-54,0.54
2024,2020,緯度帶,南極區64-90S,南,-77,0.72
2025,2020,全球,全球,全球,999,1.19
2025,2020,半球,北半球,北,999,1.48
2025,2020,半球,南半球,南,999,0.89
2025,2020,寬帶,北緯24-90,北,999,1.91
2025,2020,寬帶,南北緯24以內,赤道,999,0.85
2025,2020,寬帶,南緯24-90,南,999,0.92
2025,2020,緯度帶,北極區64-90N,北,77,2.98
2025,2020,緯度帶,北高緯44-64N,北,54,1.99
2025,2020,緯度帶,北中緯24-44N,北,34,1.53
2025,2020,緯度帶,赤道-24N,北,12,0.85
2025,2020,緯度帶,24S-赤道,南,-12,0.85
2025,2020,緯度帶,南中緯24-44S,南,-34,0.97
2025,2020,緯度帶,南高緯44-64S,南,-54,0.55
2025,2020,緯度帶,南極區64-90S,南,-77,1.56
